,device_brand,5g,internal_memory,ram,battery,price
128,8,1,128.0,8.0,4025.0,30132
129,8,0,128.0,4.0,4230.0,28334
130,8,0,128.0,6.0,3600.0,30566
131,8,0,128.0,4.0,4035.0,30628
132,8,0,128.0,6.0,4020.0,28830
133,8,1,256.0,8.0,4065.0,32798
134,8,0,32.0,2.0,4000.0,26784
135,8,0,32.0,3.0,4230.0,27590
136,8,0,8.0,1.0,2000.0,24924
137,11,1,128.0,6.0,4000.0,34534
138,1,0,64.0,4.0,4300.0,29140
139,1,0,128.0,4.0,5000.0,30628
140,1,0,32.0,3.0,5000.0,27838
141,1,0,32.0,3.0,4000.0,17918
142,1,0,32.0,2.0,4000.0,26536
143,0,0,16.0,1.5,4200.0,26784
144,11,0,256.0,8.0,3130.0,30442
145,11,0,64.0,4.0,3090.0,25916
146,11,1,128.0,6.0,4500.0,31124
147,11,0,128.0,6.0,3820.0,31186
148,11,0,64.0,4.0,6000.0,27094
149,11,0,32.0,2.0,5000.0,25296
150,11,0,128.0,6.0,4000.0,30442
151,11,0,16.0,2.0,2700.0,22444
152,11,0,32.0,4.0,4000.0,24614
153,11,0,16.0,2.0,4000.0,26598
154,11,0,128.0,8.0,5000.0,32054
155,2,0,128.0,8.0,4500.0,31310
156,2,0,64.0,4.0,5000.0,29760
157,2,1,128.0,8.0,4315.0,34472
158,2,0,128.0,8.0,4500.0,30008
159,2,0,128.0,4.0,5000.0,29884
160,2,1,128.0,6.0,4500.0,30690
161,2,1,256.0,8.0,4500.0,33852
162,2,0,128.0,8.0,4500.0,32178
163,2,1,128.0,8.0,4350.0,32736
164,2,0,128.0,8.0,4500.0,29574
165,2,0,128.0,8.0,5000.0,31372
166,2,0,128.0,8.0,4500.0,31620
167,2,0,64.0,3.0,5000.0,27342
168,2,0,64.0,6.0,4500.0,28520
169,2,0,64.0,4.0,5000.0,28458
170,2,0,128.0,4.0,5000.0,30380
171,2,1,256.0,8.0,4500.0,30628
172,2,0,128.0,8.0,4500.0,32674
173,2,1,128.0,8.0,4500.0,30442
174,2,0,128.0,8.0,4500.0,31868
175,2,0,16.0,2.0,4030.0,24552
176,2,0,128.0,6.0,4500.0,32240
177,2,0,64.0,6.0,4500.0,29326
178,2,0,64.0,4.0,5000.0,30690
179,2,0,128.0,6.0,3700.0,29450
180,2,0,64.0,4.0,3260.0,28582
181,2,0,128.0,4.0,5000.0,29512
182,2,0,128.0,6.0,3940.0,31682
183,2,0,16.0,2.0,4030.0,27156
184,2,0,4.0,0.5,1900.0,20894
185,11,0,32.0,3.0,3400.0,27404
186,11,0,16.0,2.0,2920.0,28024
187,11,0,16.0,2.0,4000.0,25606
188,11,0,128.0,6.0,4000.0,30070
189,11,0,64.0,3.0,4000.0,26846
190,3,1,128.0,8.0,4520.0,30070
191,3,1,64.0,6.0,4520.0,30814
192,3,1,128.0,6.0,4800.0,31744
193,3,1,128.0,6.0,4500.0,31124
194,3,0,64.0,6.0,5020.0,30752
195,3,0,32.0,2.0,5000.0,26908
196,3,0,32.0,2.0,5000.0,21204
197,3,0,64.0,6.0,4500.0,30752
198,3,1,512.0,12.0,4050.0,40982
199,3,0,128.0,8.0,4000.0,33232
200,3,0,128.0,8.0,4000.0,32178
201,3,0,64.0,4.0,4030.0,29698
202,3,0,64.0,6.0,4030.0,30256
203,3,0,32.0,3.0,4000.0,29016
204,11,1,256.0,8.0,5100.0,33418
205,11,1,128.0,6.0,5100.0,28830
206,11,0,32.0,3.0,4000.0,26474
207,11,0,32.0,3.0,3200.0,27280
208,11,0,64.0,3.0,3200.0,27838
209,11,0,128.0,4.0,5000.0,28334
210,11,0,128.0,8.0,5000.0,35092
211,11,0,128.0,6.0,4000.0,32488
212,11,0,16.0,2.0,2600.0,26598
213,11,0,16.0,1.0,2000.0,23560
214,11,0,16.0,1.0,2000.0,24366
215,11,0,64.0,6.0,5000.0,32612
216,11,0,128.0,6.0,4000.0,31124
217,11,0,16.0,2.0,3200.0,27590
218,11,0,32.0,2.0,3200.0,26846
219,10,0,64.0,3.0,3020.0,27652
220,10,1,128.0,8.0,4300.0,31310
221,10,1,128.0,8.0,4200.0,31062
222,10,1,64.0,6.0,7250.0,30380
223,10,0,64.0,3.0,5000.0,27714
224,10,0,64.0,4.0,4000.0,27652
225,10,0,32.0,2.0,3020.0,24552
226,10,0,64.0,4.0,3400.0,29574
227,10,0,128.0,6.0,4000.0,29760
228,10,0,128.0,6.0,4000.0,29946
229,10,0,64.0,3.0,3020.0,27714
230,10,0,64.0,4.0,5000.0,28520
231,10,1,128.0,8.0,4100.0,32054
232,10,0,64.0,4.0,4000.0,29698
233,10,0,32.0,2.0,3020.0,26164
234,10,0,64.0,4.0,4000.0,27342
235,10,0,128.0,6.0,3750.0,32116
236,10,0,64.0,4.0,4000.0,28954
